Судно;Ледовый класс;Скорость;Порт отправления;Порт прибытия;Порт_1(id);Порт_2(id);Дата отправления;Порт прибытия (ETA);Дата прибытия (расчет);Время факт;Время(расчет)
VLADIMIR RUSANOV;;;Сабетта;Карские ворота;;;10.01.2022;12.01.2022 3:00;;51;
АНАБАР;;;Бухта Север и Диксон;Мыс Желания;;;11.01.2022;14.01.2022 1:00;;73;
СЕВЕРНЫЙ ПРОЕКТ;;;Карское - 1 (сбор каравана);Сабетта;;;10.01.2022;12.01.2022 8:00;;56;
ШТУРМАН ЩЕРБИНИН;;;Сабетта;Карские ворота;;;11.01.2022;14.01.2022 17:00;;89;
МИХАИЛ ЛАЗАРЕВ;;;Ленинградское-Русановское;Сабетта;;;2022-01-13 00:00:00;16.01.2022 6:00;;78;
НОРИЛЬСКИЙ НИКЕЛЬ;;;Бухта Север и Диксон;Карские ворота;;;2022-01-13 00:00:00;16.01.2022 12:00;;84;
ШТУРМАН СКУРАТОВ;;;Карские ворота;Сабетта;;;14.01.2022;17.01.2022 14:00;;86;
АРКТИКА-1;;;Мыс Желания;Карские ворота;;;2022-01-17 00:00:00;21.01.2022 12:00;;108;
ENISEY;;;Мыс Желания;Карские ворота;;;2022-01-17 00:00:00;19.01.2022 20:00;;68;
ТАМБЕЙ;;;Бухта Север и Диксон;Мыс Желания;;;18.01.2022;21.01.2022 5:00;;77;
RUDOLF SAMOYLOVICH;;;Сабетта;Карские ворота;;;19.01.2022;21.01.2022 4:00;;52;
БЕРИНГ;;;Новый порт;Сабетта;;;19.01.2022;21.01.2022 12:00;;60;
ЗАПОЛЯРНЫЙ;;;Карские ворота;Бухта Север и Диксон;;;19.01.2022;23.01.2022 8:00;;104;
ТИКСИ;;;Мыс Желания;Бухта Север и Диксон;;;19.01.2022;01.02.2022 12:00;;324;
BORIS DAVYDOV;;;Сабетта;Мыс Желания;;;20.01.2022;21.01.2022 9:00;;33;
NIKOLAY ZUBOV;;;Сабетта;Карские ворота;;;24.01.2022;25.01.2022 20:00;;44;
VLADIMIR VIZE;;;Рейд Певек;Сабетта;;;24.01.2022;08.02.2022 12:00;;372;
VLADIMIR VORONIN;;;Мыс Желания;Сабетта;;;24.01.2022;25.01.2022 19:30;;43,5;
EDUARD TOLL;;;Сабетта;Карские ворота;;;24.01.2022;25.01.2022 8:00;;32;
