ALMAZ;Arc7;12
AUDAX;Arc7;15
BELOMORSK;Arc4;10
BORIS DAVYDOV;Arc4;13
BORIS SOKOLOV;Arc7;14
BORIS VILKITSKY;Arc7;19
CLEAN HORIZON;Arc4;17
CLEAN OCEAN;Arc4;10
CLEAN PLANET;Arc4;17
EDUARD TOLL;Arc7;15
ENISEY;Arc4;10
GEORGIY BRUSILOV;Arc7;10
GEORGIY USHAKOV;Arc7;15
KAMA;Arc7;19
KAY;Arc6;17
LENA RIVER;Arc4;15
MEKHANIK KOTTSOV;Arc4;10
NIKOLAY URVANTSEV;Arc6;18
NIKOLAY YEVGENOV;Arc7;14
NIKOLAY ZUBOV;Arc7;18
PRELUDE;Arc4;17
RUDOLF SAMOYLOVICH;Arc7;15
RUNO;Arc7;10
SAPODILLA;Arc4;15
SARMAT;Arc4;15
VASILY DINKOV;Arc7;14
VASILYDINKOV;Arc7;14
VEPR;Arc6;17
VLADIMIR RUSANOV;Arc7;19
VLADIMIR VIZE;Arc7;20
VLADIMIR VORONIN;Arc7;15
VLadimir Vize;Arc7;20
Vladimir Rusanov;Arc7;19
YAMAL SPIRIT;Нет;14
АЙС ИГЛ;Arc5;14
АКВАРИУС;Нет;10
АЛДАН;Arc5;14
АЛЕКСАНДРА;Arc5;8
АЛМАЗ;Arc7;12
АНАБАР;Arc5;14
АРКТИКА-1;Arc5;19
АРКТИКА-2;Arc5;19
Анабар;Arc5;14
БАРЕНЦ;Arc4;16
БАХТЕМИР;Arc5;14
БЕРИНГ;Arc4;16
БОРИС ВИЛЬКИЦКИЙ;Arc7;19
Беломорск;Arc4;10
ВАЛЕРИЙ ВАСИЛЬЕВ;Arc5;15
ВАСИЛИЙ ДИНКОВ;Arc6;16
ВЛАДИМИР РУСАНОВ;Arc7;19
ГЕОРГИЙ УШАКОВ;Arc4;16
ГРИГОРИЙ ШЕЛИХОВ;Arc4;14
ДВИНСКИЙ ЗАЛИВ;Arc7;19
ЕLARА;Arc6;17
ЕРМАК;Arc7;18
ЗАПОЛЯРНЫЙ;Arc7;15
ИНЖЕНЕР ВЕШНЯКОВ;Arc5;19
ИНЖЕНЕР ТРУБИН;Arc5;12
ИОГАНН МАХМАСТАЛЬ;Arc5;14
КАПИТАН ВДОВИЧЕНКО;Arc4;15
КАПИТАН МАРТЫШКИН;Arc4;15
КЕРН;Arc7;19
КОНСТАНТА;Arc5;15
МЕХАНИК МАКАРЬИН;Arc4;10
МИХАИЛ БРИТНЕВ;Arc4;18
МИХАИЛ ЛАЗАРЕВ;Arc7;16
МЫС ДЕЖНЁВА;Arc4;16
МЫС ДЕЖНЕВА;Arc4;16
НИКИФОР БЕГИЧЕВ;Arc4;16
НОРИЛЬСКИЙ НИКЕЛЬ;Arc7;14
ПОЛАР  КИНГ;Arc5;16
ПОЛАР КИНГ;Arc5;16
САБЕТТА;Arc4;16
САРМАТ;Arc4;15
СЕВЕРНЫЙ ПРОЕКТ;Arc4;16
СЕВМОРПУТЬ;Arc5;14
СЕЙВАЛ;Arc4;15
СИЯНИЕ СЕВЕРА;Arc4;15
ТАЙБОЛА;Arc4;16
ТАМБЕЙ;Arc4;13
ТИКСИ;Arc4;16
УРАРТУ;Arc4;18
ШТУРМАН АЛЬБАНОВ;Arc7;19
ШТУРМАН КОШЕЛЕВ;Arc7;15
ШТУРМАН СКУРАТОВ;Arc7;15
ШТУРМАН ЩЕРБИНИН;Arc7;15
ЯМАЛ КРЕЧЕТ;Arc4;16
ЯНА;;
АММОЛИТ;Arc6;17
СЕЛЕНГА;Arc7;19
